text,canonical_form_1,category_1,severity_rating,severity_description,text_without_stopwords
nutsacks,nutsack,sexual anatomy / sexual acts,1.6,Strong,nutsacks
m0fos,motherfucker,sexual anatomy / sexual acts,2.6,Severe,m0fos
darkshit,shit,bodily fluids / excrement,3.0,Severe,darkshit
punk ass mofoes,motherfucker,sexual anatomy / sexual acts,2.8,Severe,punkassmofoes
sphincter,sphincter,sexual anatomy / sexual acts,1.0,Mild,sphincter
wanking,wank,sexual anatomy / sexual acts,1.0,Mild,wanking
cumball,cum,bodily fluids / excrement,2.4,Strong,cumball
phuq,fuck,sexual anatomy / sexual acts,2.2,Strong,phuq
cockmonger,cock,sexual anatomy / sexual acts,2.2,Strong,cockmonger
finger fuck,fuck,sexual anatomy / sexual acts,2.6,Severe,fingerfuck
shittydick,shit,bodily fluids / excrement,2.0,Strong,shittydick
apeshit,ape,bodily fluids / excrement,1.4,Mild,apeshit
p3nisfcukers,fuck,sexual anatomy / sexual acts,2.8,Severe,p3nisfcukers
niggers,nigger,racial / ethnic slurs,3.0,Severe,niggers
darky,darky,racial / ethnic slurs,2.8,Severe,darky
cock sucker,cock,sexual anatomy / sexual acts,2.4,Strong,cocksucker
phucks,fuck,sexual anatomy / sexual acts,2.0,Strong,phucks
b1tchees,bitch,sexual orientation / gender,1.4,Mild,b1tchees
creampie,creampie,sexual anatomy / sexual acts,2.2,Strong,creampie
phukshit,fuck,sexual anatomy / sexual acts,2.2,Strong,phukshit
muthafuckkers,motherfucker,sexual anatomy / sexual acts,2.8,Severe,muthafuckkers
fxcking,fuck,sexual anatomy / sexual acts,2.2,Strong,fxcking
shitasses,shit,sexual anatomy / sexual acts,2.0,Strong,shitasses
mtherfuker,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mtherfuker
fucking bastard,fuck,sexual anatomy / sexual acts,2.4,Strong,fuckingbastard
jerk-0ff,jerk off,sexual anatomy / sexual acts,1.2,Mild,jerk-0ff
nob jockey,knob,sexual anatomy / sexual acts,2.2,Strong,nobjockey
phuqs,fuck,sexual anatomy / sexual acts,1.8,Strong,phuqs
dix,dick,sexual anatomy / sexual acts,1.0,Mild,dix
puzzies,pussy,sexual anatomy / sexual acts,1.4,Mild,puzzies
ass fucker,fuck,sexual anatomy / sexual acts,2.6,Severe,assfucker
goddamnit,damn,religious offense,1.6,Strong,goddamnit
cocksucc,cock,sexual anatomy / sexual acts,2.0,Strong,cocksucc
aboe,abo,racial / ethnic slurs,1.0,Mild,aboe
ar5ehole,arse,sexual anatomy / sexual acts,1.4,Mild,ar5ehole
mothafvcked,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mothafvcked
cholo,cholo,racial / ethnic slurs,1.6,Strong,cholo
mushroom tip,mushroom tip,sexual anatomy / sexual acts,1.4,Mild,mushroomtip
queerasses,queer,sexual orientation / gender,3.0,Severe,queerasses
homo asses,homosexual,sexual anatomy / sexual acts,2.8,Severe,homoasses
polesmoker,polesmoker,sexual anatomy / sexual acts,2.2,Strong,polesmoker
diddle,diddle,sexual anatomy / sexual acts,1.0,Mild,diddle
dumbass son-of-a-bitch,bitch,sexual anatomy / sexual acts,1.8,Strong,dumbassson-of-a-bitch
r3t@rd,retard,mental disability,2.8,Severe,r3t@rd
ku kluxer,ku kluxer,racial / ethnic slurs,2.6,Severe,kukluxer
f@k,fuck,sexual anatomy / sexual acts,1.8,Strong,f@k
twattish,twat,sexual anatomy / sexual acts,1.6,Strong,twattish
butt fucker,fuck,sexual anatomy / sexual acts,3.0,Severe,buttfucker
fuggings,fuck,sexual anatomy / sexual acts,2.0,Strong,fuggings
doggy style,doggy style,sexual anatomy / sexual acts,1.4,Mild,doggystyle
hustler,hustler,other / general insult,1.0,Mild,hustler
dumbass mothafuckers,motherfucker,sexual anatomy / sexual acts,2.8,Severe,dumbassmothafuckers
shitte,shit,bodily fluids / excrement,1.0,Mild,shitte
gayest,gay,sexual orientation / gender,1.0,Mild,gayest
muhfucking,motherfucker,sexual anatomy / sexual acts,2.4,Strong,muhfucking
beaners,beaner,racial / ethnic slurs,2.6,Severe,beaners
son of a bitch,bitch,other / general insult,1.2,Mild,sonbitch
sh1t3,shit,bodily fluids / excrement,1.0,Mild,sh1t3
n1gga,nigger,racial / ethnic slurs,2.4,Strong,n1gga
d!ld0,dildo,sexual anatomy / sexual acts,1.4,Mild,d!ld0
shat,shit,bodily fluids / excrement,1.2,Mild,shat
m@derfuck,motherfucker,sexual anatomy / sexual acts,3.0,Severe,m@derfuck
carpetmuncher,carpet muncher,sexual anatomy / sexual acts,2.6,Severe,carpetmuncher
holy fuck,fuck,sexual anatomy / sexual acts,2.0,Strong,holyfuck
phags,faggot,sexual orientation / gender,3.0,Severe,phags
m0thafucking,motherfucker,sexual anatomy / sexual acts,2.8,Severe,m0thafucking
beaner,beaner,racial / ethnic slurs,2.6,Severe,beaner
darkass,ass,racial / ethnic slurs,2.6,Severe,darkass
packing fudgehead,fudge packer,bodily fluids / excrement,1.8,Strong,packingfudgehead
shemal3,shemale,sexual orientation / gender,1.8,Strong,shemal3
cuksuker,cock,sexual anatomy / sexual acts,2.4,Strong,cuksuker
shiddick,shit,sexual anatomy / sexual acts,2.0,Strong,shiddick
slanty,slant eye,racial / ethnic slurs,2.6,Severe,slanty
pole licker,pole licker,sexual anatomy / sexual acts,2.2,Strong,polelicker
goddamned,damn,religious offense,1.8,Strong,goddamned
shitter,shit,bodily fluids / excrement,1.0,Mild,shitter
ladyb0y,ladyboy,sexual orientation / gender,2.4,Strong,ladyb0y
punani,punani,sexual anatomy / sexual acts,1.8,Strong,punani
faggy,faggot,sexual orientation / gender,3.0,Severe,faggy
batshite,shit,bodily fluids / excrement,1.2,Mild,batshite
dicksmoker,dick,sexual anatomy / sexual acts,2.8,Severe,dicksmoker
ladyb0i,ladyboy,sexual orientation / gender,2.2,Strong,ladyb0i
girly bits,girly bits,sexual anatomy / sexual acts,1.0,Mild,girlybits
trasherbitch,bitch,sexual orientation / gender,1.4,Mild,trasherbitch
dune coon,coon,racial / ethnic slurs,3.0,Severe,dunecoon
man meat,meat,sexual anatomy / sexual acts,1.2,Mild,manmeat
prick-head,prick,sexual anatomy / sexual acts,1.8,Strong,prick-head
bbc,cock,sexual anatomy / sexual acts,1.4,Mild,bbc
bitches,bitch,sexual orientation / gender,1.6,Strong,bitches
whore,whore,sexual orientation / gender,1.8,Strong,whore
pancake face,pancake face,racial / ethnic slurs,1.6,Strong,pancakeface
fuc,fuck,sexual anatomy / sexual acts,1.6,Strong,fuc
nut butter,nut butter,bodily fluids / excrement,1.4,Mild,nutbutter
jigro,jiggaboo,racial / ethnic slurs,2.8,Severe,jigro
shit-bandit,shit,bodily fluids / excrement,1.6,Strong,shit-bandit
motherfvckeds,motherfucker,sexual anatomy / sexual acts,2.2,Strong,motherfvckeds
mofoes,motherfucker,other / general insult,2.0,Strong,mofoes
jerk-off,jerk off,sexual anatomy / sexual acts,1.2,Mild,jerk-off
spicshit,spic,bodily fluids / excrement,3.0,Severe,spicshit
anilingus,anal,sexual anatomy / sexual acts,1.8,Strong,anilingus
nigah,nigger,racial / ethnic slurs,2.8,Severe,nigah
cock droplets,cock,bodily fluids / excrement,2.4,Strong,cockdroplets
knobjokeys,knob,sexual anatomy / sexual acts,1.8,Strong,knobjokeys
muffindiving,muff,sexual anatomy / sexual acts,1.8,Strong,muffindiving
stupid fucker,fuck,sexual anatomy / sexual acts,2.4,Strong,stupidfucker
salad tosser,salad tosser,sexual anatomy / sexual acts,2.0,Strong,saladtosser
faggot nobjockies,faggot,sexual orientation / gender,3.0,Severe,faggotnobjockies
beat the meat,meat,sexual anatomy / sexual acts,1.4,Mild,beatmeat
fckked,fuck,sexual anatomy / sexual acts,2.0,Strong,fckked
f@g,faggot,sexual orientation / gender,2.8,Severe,f@g
pole smoker,pole smoker,sexual anatomy / sexual acts,2.0,Strong,polesmoker
hoes,hoe,sexual orientation / gender,2.0,Strong,hoes
cawkmuncher,cock,sexual anatomy / sexual acts,2.2,Strong,cawkmuncher
coolie,coolie,racial / ethnic slurs,1.8,Strong,coolie
n1ggas,nigger,racial / ethnic slurs,3.0,Severe,n1ggas
trashbtch,bitch,sexual orientation / gender,1.4,Mild,trashbtch
shlong,shlong,sexual anatomy / sexual acts,1.0,Mild,shlong
kiss ass,ass,sexual anatomy / sexual acts,1.0,Mild,kissass
shit-arse,shit,sexual anatomy / sexual acts,1.6,Strong,shit-arse
fvckker bunny,fuck,sexual anatomy / sexual acts,2.2,Strong,fvckkerbunny
puussy,pussy,sexual anatomy / sexual acts,1.4,Mild,puussy
assfuckerz,fuck,sexual anatomy / sexual acts,2.4,Strong,assfuckerz
hoe-asses,hoe,sexual orientation / gender,2.2,Strong,hoe-asses
dong,dong,sexual anatomy / sexual acts,1.2,Mild,dong
muthafuckings,motherfucker,sexual anatomy / sexual acts,3.0,Severe,muthafuckings
phucked,fuck,sexual anatomy / sexual acts,2.0,Strong,phucked
sh! +,shit,bodily fluids / excrement,1.2,Mild,sh!+
bollox,bollocks,sexual anatomy / sexual acts,1.0,Mild,bollox
fuckup,fuck,sexual anatomy / sexual acts,2.0,Strong,fuckup
assfukkerz,fuck,sexual anatomy / sexual acts,2.8,Severe,assfukkerz
mothafuckin,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothafuckin
b！tch,bitch,sexual orientation / gender,1.4,Mild,b！tch
m0ng0l0id,mongoloid,mental disability,2.2,Strong,m0ng0l0id
motherfcks,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfcks
faggo,faggot,sexual orientation / gender,2.8,Severe,faggo
chinese-virus,china virus,political,2.8,Severe,chinese-virus
dogshits,shit,bodily fluids / excrement,1.4,Mild,dogshits
d1ckhead,dick,sexual anatomy / sexual acts,1.8,Strong,d1ckhead
shitheadfuckface,fuck,sexual anatomy / sexual acts,2.4,Strong,shitheadfuckface
fker,fuck,sexual anatomy / sexual acts,2.4,Strong,fker
dumbass,ass,mental disability,1.4,Mild,dumbass
puta,punta,sexual orientation / gender,1.8,Strong,puta
cock-suckers,cock,sexual anatomy / sexual acts,2.0,Strong,cock-suckers
shmale,shemale,sexual orientation / gender,1.4,Mild,shmale
cock licker,cock,sexual anatomy / sexual acts,2.0,Strong,cocklicker
penisfvckers,penis,sexual anatomy / sexual acts,2.8,Severe,penisfvckers
cum goon,cum,sexual anatomy / sexual acts,2.0,Strong,cumgoon
hooters,hooters,sexual anatomy / sexual acts,1.0,Mild,hooters
fag hag,faggot,sexual orientation / gender,2.6,Severe,faghag
c00n,coon,racial / ethnic slurs,2.8,Severe,c00n
shitfck,shit,sexual anatomy / sexual acts,2.4,Strong,shitfck
sluts,slut,sexual orientation / gender,1.6,Strong,sluts
goddamn son of a bitch,damn,religious offense,2.2,Strong,goddamnsonbitch
fatass,ass,sexual anatomy / sexual acts,1.2,Mild,fatass
cyberfcks,fuck,sexual anatomy / sexual acts,2.4,Strong,cyberfcks
ass hole,ass,sexual anatomy / sexual acts,1.2,Mild,asshole
taking the piss,taking the piss,bodily fluids / excrement,1.0,Mild,takingpiss
kneegrows,negro,racial / ethnic slurs,2.8,Severe,kneegrows
pull the pud,pull the pud,sexual anatomy / sexual acts,1.2,Mild,pullpud
coot coot,coot,sexual anatomy / sexual acts,1.4,Mild,cootcoot
dogstyle,doggy style,sexual anatomy / sexual acts,1.0,Mild,dogstyle
muthafeckers,motherfucker,sexual anatomy / sexual acts,3.0,Severe,muthafeckers
anal pirate,anal,sexual anatomy / sexual acts,2.2,Strong,analpirate
jizzy,jizz,bodily fluids / excrement,1.6,Strong,jizzy
n1gg3rs,nigger,racial / ethnic slurs,3.0,Severe,n1gg3rs
mofo ass,motherfucker,sexual anatomy / sexual acts,2.4,Strong,mofoass
doosh,douche,bodily fluids / excrement,1.4,Mild,doosh
fooker,fuck,sexual anatomy / sexual acts,1.8,Strong,fooker
dogie style,doggy style,sexual anatomy / sexual acts,1.0,Mild,dogiestyle
niggir,nigger,racial / ethnic slurs,3.0,Severe,niggir
piss face,piss,bodily fluids / excrement,1.4,Mild,pissface
penisfvcker,penis,sexual anatomy / sexual acts,3.0,Severe,penisfvcker
wankers,wank,sexual anatomy / sexual acts,1.0,Mild,wankers
god damn,damn,religious offense,1.4,Mild,goddamn
motherfvcked,motherfucker,sexual anatomy / sexual acts,2.6,Severe,motherfvcked
nympho,nymph,sexual anatomy / sexual acts,1.0,Mild,nympho
l@dyboy,ladyboy,sexual orientation / gender,2.0,Strong,l@dyboy
motha fuckers,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mothafuckers
mother fucker,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfucker
gayness,gay,sexual orientation / gender,1.4,Mild,gayness
retard,retard,mental disability,2.8,Severe,retard
fcuker,fuck,sexual anatomy / sexual acts,2.4,Strong,fcuker
cooni3s,coon,racial / ethnic slurs,2.4,Strong,cooni3s
rice monkey,monkey,racial / ethnic slurs,3.0,Severe,ricemonkey
dago,dago,racial / ethnic slurs,2.2,Strong,dago
shitefulls,shit,bodily fluids / excrement,1.8,Strong,shitefulls
shemale,shemale,sexual orientation / gender,2.6,Severe,shemale
rat baztad,bastard,animal references,1.8,Strong,ratbaztad
shitfacefuck,fuck,sexual anatomy / sexual acts,2.8,Severe,shitfacefuck
k!ke,kike,racial / ethnic slurs,3.0,Severe,k!ke
mothafuckings,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mothafuckings
n1g3r,nigger,racial / ethnic slurs,3.0,Severe,n1g3r
mothafucking,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mothafucking
kiss my ass,ass,sexual anatomy / sexual acts,1.6,Strong,kissass
c0cksucker,cock,sexual anatomy / sexual acts,2.2,Strong,c0cksucker
knobendy,knob,sexual anatomy / sexual acts,1.6,Strong,knobendy
motherfk,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfk
fackuhs,fuck,sexual anatomy / sexual acts,2.0,Strong,fackuhs
cocksucked,cock,sexual anatomy / sexual acts,2.0,Strong,cocksucked
ass kisser,ass,sexual anatomy / sexual acts,1.2,Mild,asskisser
blow a load,blow a load,bodily fluids / excrement,1.6,Strong,blowload
shit-ass,shit,bodily fluids / excrement,2.0,Strong,shit-ass
jizz eater,jizz,sexual anatomy / sexual acts,2.4,Strong,jizzeater
ass eating nob jokeys,ass,sexual anatomy / sexual acts,2.8,Severe,asseatingnobjokeys
ramrod,ramrod,sexual anatomy / sexual acts,1.0,Mild,ramrod
ass-fuckers,fuck,sexual anatomy / sexual acts,2.6,Severe,ass-fuckers
cocksuckas,cock,sexual anatomy / sexual acts,2.4,Strong,cocksuckas
@ssfvcker,fuck,sexual anatomy / sexual acts,2.4,Strong,@ssfvcker
gay shit,gay,bodily fluids / excrement,1.8,Strong,gayshit
goddamn mothafuckers,motherfucker,sexual anatomy / sexual acts,2.8,Severe,goddamnmothafuckers
fudgepacker,fudge packer,sexual orientation / gender,2.4,Strong,fudgepacker
shitdick,shit,sexual anatomy / sexual acts,2.4,Strong,shitdick
gaysian,gay,sexual orientation / gender,2.6,Severe,gaysian
ass fucking nob jokeys,fuck,sexual anatomy / sexual acts,2.6,Severe,assfuckingnobjokeys
mfukker,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mfukker
motherfucker,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfucker
tramp,tramp,sexual orientation / gender,1.6,Strong,tramp
dogshit,shit,bodily fluids / excrement,1.0,Mild,dogshit
c0cks,cock,sexual anatomy / sexual acts,1.6,Strong,c0cks
fuku,fuck,sexual anatomy / sexual acts,2.6,Severe,fuku
mothafuck,motherfucker,sexual anatomy / sexual acts,2.8,Severe,mothafuck
fcktard,fuck,sexual anatomy / sexual acts,2.8,Severe,fcktard
b1tchs,bitch,sexual orientation / gender,1.4,Mild,b1tchs
jiggas,jiggaboo,racial / ethnic slurs,2.8,Severe,jiggas
dipshidiot,shit,bodily fluids / excrement,1.6,Strong,dipshidiot
fuck up,fuck,sexual anatomy / sexual acts,1.8,Strong,fuck
sack,ballsack,sexual anatomy / sexual acts,1.0,Mild,sack
mudderfukker,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mudderfukker
china-virus,china virus,political,2.2,Strong,china-virus
bollockchops,bollocks,sexual anatomy / sexual acts,1.2,Mild,bollockchops
0ral sex,sex,sexual anatomy / sexual acts,1.8,Strong,0ralsex
knob-face,knob,sexual anatomy / sexual acts,1.6,Strong,knob-face
p3nisfcker,penis,sexual anatomy / sexual acts,3.0,Severe,p3nisfcker
meat curtains,meat curtains,sexual anatomy / sexual acts,2.0,Strong,meatcurtains
cocksuccas,cock,sexual anatomy / sexual acts,2.2,Strong,cocksuccas
motherfuckin,motherfucker,sexual anatomy / sexual acts,2.6,Severe,motherfuckin
fudgepackershitter,fudge packer,sexual anatomy / sexual acts,3.0,Severe,fudgepackershitter
knobend,knob,sexual anatomy / sexual acts,1.2,Mild,knobend
cyberfukk,fuck,sexual anatomy / sexual acts,2.0,Strong,cyberfukk
nigguh,nigger,racial / ethnic slurs,2.8,Severe,nigguh
fucks,fuck,sexual anatomy / sexual acts,2.0,Strong,fucks
jerkoffs,jerk off,sexual anatomy / sexual acts,1.2,Mild,jerkoffs
motherfuckingshit,motherfucker,sexual anatomy / sexual acts,2.8,Severe,motherfuckingshit
clusterfucker,fuck,sexual anatomy / sexual acts,2.4,Strong,clusterfucker
pussless,pussy,sexual anatomy / sexual acts,2.0,Strong,pussless
fuckheads,fuck,sexual anatomy / sexual acts,2.6,Severe,fuckheads
fuckem,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckem
nobjokey,knob,sexual anatomy / sexual acts,2.0,Strong,nobjokey
ape shite,ape,bodily fluids / excrement,1.6,Strong,apeshite
ass bandit,ass,sexual anatomy / sexual acts,1.6,Strong,assbandit
pussywhipped,pussy,sexual anatomy / sexual acts,1.8,Strong,pussywhipped
m0therfvcker,motherfucker,sexual anatomy / sexual acts,3.0,Severe,m0therfvcker
jiggabooboo,jiggaboo,racial / ethnic slurs,2.4,Strong,jiggabooboo
anal hole,anal,sexual anatomy / sexual acts,2.2,Strong,analhole
shit3,shit,bodily fluids / excrement,1.0,Mild,shit3
kid diddler,diddle,sexual anatomy / sexual acts,3.0,Severe,kiddiddler
mofoshit,motherfucker,sexual anatomy / sexual acts,2.2,Strong,mofoshit
shittasticfuck,fuck,bodily fluids / excrement,2.2,Strong,shittasticfuck
double dicking,dick,sexual anatomy / sexual acts,2.2,Strong,doubledicking
fuckface,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckface
fuckers,fuck,sexual anatomy / sexual acts,2.4,Strong,fuckers
blumpkin boy,blumpkin,sexual anatomy / sexual acts,2.4,Strong,blumpkinboy
shit face,shit,bodily fluids / excrement,1.8,Strong,shitface
knobd,knob,sexual anatomy / sexual acts,1.2,Mild,knobd
bastinado,bastard,other / general insult,1.8,Strong,bastinado
twatzilla,twat,sexual anatomy / sexual acts,2.0,Strong,twatzilla
higga,nigger,racial / ethnic slurs,2.8,Severe,higga
buttermilk,buttermilk,racial / ethnic slurs,1.4,Mild,buttermilk
fuckass,fuck,sexual anatomy / sexual acts,2.4,Strong,fuckass
jailbait,jailbait,sexual anatomy / sexual acts,1.0,Mild,jailbait
cunt ass,cunt,sexual anatomy / sexual acts,2.8,Severe,cuntass
mother fuckers,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfuckers
mofo,motherfucker,sexual anatomy / sexual acts,2.0,Strong,mofo
Fuck,fuck,sexual anatomy / sexual acts,2.0,Strong,Fuck
fuckstar,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckstar
f@gg0t,faggot,sexual orientation / gender,3.0,Severe,f@gg0t
clusterfucked,fuck,sexual anatomy / sexual acts,2.2,Strong,clusterfucked
b17ch,bitch,sexual orientation / gender,1.4,Mild,b17ch
crotchy,crotch,sexual anatomy / sexual acts,1.4,Mild,crotchy
dumb fucker,fuck,sexual anatomy / sexual acts,2.0,Strong,dumbfucker
sh1tty,shit,bodily fluids / excrement,1.2,Mild,sh1tty
retardo,retard,physical disability,2.6,Severe,retardo
slut hole,slut,sexual anatomy / sexual acts,2.4,Strong,sluthole
pedobears,pedophile,other / general insult,2.2,Strong,pedobears
dick breath,dick,sexual anatomy / sexual acts,2.0,Strong,dickbreath
girlieboy,girlyboy,sexual orientation / gender,1.4,Mild,girlieboy
pussy,pussy,sexual anatomy / sexual acts,1.4,Mild,pussy
prick-face,prick,sexual anatomy / sexual acts,1.2,Mild,prick-face
twatface,twat,sexual anatomy / sexual acts,2.4,Strong,twatface
motherfvck,motherfucker,sexual anatomy / sexual acts,2.6,Severe,motherfvck
bitch,bitch,sexual orientation / gender,1.4,Mild,bitch
cock snot,cock,sexual anatomy / sexual acts,2.2,Strong,cocksnot
fckyeah,fuck,other / general insult,1.6,Strong,fckyeah
fuckboy,fuck,sexual anatomy / sexual acts,2.6,Severe,fuckboy
fcks,fuck,sexual anatomy / sexual acts,2.0,Strong,fcks
mofukkas,motherfucker,sexual anatomy / sexual acts,2.4,Strong,mofukkas
nobheads,knob,sexual anatomy / sexual acts,1.4,Mild,nobheads
lesbo,lesbian,sexual orientation / gender,2.2,Strong,lesbo
fuckshit,fuck,sexual anatomy / sexual acts,2.4,Strong,fuckshit
faggot mofoes,faggot,sexual anatomy / sexual acts,3.0,Severe,faggotmofoes
mothafuckaz,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mothafuckaz
greaser,greaser,racial / ethnic slurs,1.0,Mild,greaser
fuckaz,fuck,sexual anatomy / sexual acts,2.2,Strong,fuckaz
slit,slit,sexual orientation / gender,1.6,Strong,slit
shitheads,shit,bodily fluids / excrement,1.8,Strong,shitheads
p3n1shead,penis,sexual anatomy / sexual acts,1.8,Strong,p3n1shead
cooter shooting,coot,sexual anatomy / sexual acts,2.6,Severe,cootershooting
fukin,fuck,sexual anatomy / sexual acts,2.2,Strong,fukin
bastardish,bastard,other / general insult,1.0,Mild,bastardish
muthafuckers,motherfucker,sexual anatomy / sexual acts,3.0,Severe,muthafuckers
motherfucks,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfucks
jizzbags,jizz,bodily fluids / excrement,2.4,Strong,jizzbags
clusterfucking,fuck,sexual anatomy / sexual acts,2.0,Strong,clusterfucking
jackasses,ass,sexual anatomy / sexual acts,1.0,Mild,jackasses
buttfucker,fuck,sexual anatomy / sexual acts,3.0,Severe,buttfucker
choke the chicken,choke the chicken,sexual anatomy / sexual acts,1.4,Mild,chokechicken
stump chewer,stump chewer,sexual anatomy / sexual acts,1.4,Mild,stumpchewer
abbie,abraham,racial / ethnic slurs,1.2,Mild,abbie
mothter fuck,motherfucker,sexual anatomy / sexual acts,3.0,Severe,mothterfuck
butt hole,butt,sexual anatomy / sexual acts,1.0,Mild,butthole
blacky,blacky,racial / ethnic slurs,2.4,Strong,blacky
shitehead,shit,bodily fluids / excrement,1.8,Strong,shitehead
chocha,chocha,sexual anatomy / sexual acts,2.4,Strong,chocha
pussie,pussy,sexual anatomy / sexual acts,2.0,Strong,pussie
d!ldo,dildo,sexual anatomy / sexual acts,1.4,Mild,d!ldo
wang wrangler,wang,sexual anatomy / sexual acts,2.0,Strong,wangwrangler
fudgepacking fucker,fudge packer,sexual anatomy / sexual acts,3.0,Severe,fudgepackingfucker
c0cksucked,cock,sexual anatomy / sexual acts,2.0,Strong,c0cksucked
blow job,blowjob,sexual anatomy / sexual acts,2.0,Strong,blowjob
fukkuh,fuck,sexual anatomy / sexual acts,2.2,Strong,fukkuh
pole sucker,pole sucker,sexual anatomy / sexual acts,1.8,Strong,polesucker
cocksucker,cock,sexual anatomy / sexual acts,2.2,Strong,cocksucker
tongue fucking,fuck,sexual anatomy / sexual acts,2.8,Severe,tonguefucking
dick nibbler,dick,sexual anatomy / sexual acts,2.4,Strong,dicknibbler
nobjocky,knob,sexual anatomy / sexual acts,2.4,Strong,nobjocky
fellatio aficionado,fellatio,sexual anatomy / sexual acts,2.0,Strong,fellatioaficionado
assfukka,fuck,sexual anatomy / sexual acts,2.8,Severe,assfukka
blowjob,blowjob,sexual anatomy / sexual acts,1.2,Mild,blowjob
piss off fuckhead,fuck,sexual anatomy / sexual acts,3.0,Severe,pissfuckhead
bondage,bondage,sexual anatomy / sexual acts,1.0,Mild,bondage
god damn it,damn,religious offense,1.8,Strong,goddamn
shitdicks,shit,sexual anatomy / sexual acts,2.0,Strong,shitdicks
sonofbitches,bitch,sexual orientation / gender,1.0,Mild,sonofbitches
mutherfucker,motherfucker,sexual anatomy / sexual acts,2.6,Severe,mutherfucker
fvckin,fuck,sexual anatomy / sexual acts,1.8,Strong,fvckin
cooter,coot,sexual anatomy / sexual acts,1.2,Mild,cooter
peter puffer,peter puffer,sexual orientation / gender,1.8,Strong,peterpuffer
nikkas,nigger,racial / ethnic slurs,3.0,Severe,nikkas
cocksucking mothafuckers,motherfucker,sexual anatomy / sexual acts,3.0,Severe,cocksuckingmothafuckers
cunt,cunt,sexual anatomy / sexual acts,2.6,Severe,cunt
cockmuncher,cock,sexual anatomy / sexual acts,1.8,Strong,cockmuncher
zip in the wire,zipperhead,racial / ethnic slurs,1.4,Mild,zipwire
horse shit,shit,bodily fluids / excrement,1.2,Mild,horseshit
fk bunny,fuck,sexual anatomy / sexual acts,2.0,Strong,fkbunny
sk@nks,skank,sexual orientation / gender,1.6,Strong,sk@nks
nutsack,nutsack,sexual anatomy / sexual acts,1.8,Strong,nutsack
p3nisfvcker,penis,sexual anatomy / sexual acts,2.8,Severe,p3nisfvcker
pussylickers,pussy,sexual anatomy / sexual acts,2.8,Severe,pussylickers
jerk-0ffs,jerk off,sexual anatomy / sexual acts,1.4,Mild,jerk-0ffs
cuntness,cunt,sexual anatomy / sexual acts,3.0,Severe,cuntness
nigasses,nigger,racial / ethnic slurs,3.0,Severe,nigasses
buttfuckers,fuck,sexual anatomy / sexual acts,3.0,Severe,buttfuckers
scumfucker,fuck,sexual anatomy / sexual acts,2.8,Severe,scumfucker
b1tch,bitch,sexual orientation / gender,1.4,Mild,b1tch
fucking asshole,fuck,sexual anatomy / sexual acts,2.8,Severe,fuckingasshole
mindfuck,motherfucker,sexual anatomy / sexual acts,2.2,Strong,mindfuck
cocklicker,cock,sexual anatomy / sexual acts,2.2,Strong,cocklicker
niggah,nigger,racial / ethnic slurs,2.8,Severe,niggah
mutha fucker,motherfucker,sexual anatomy / sexual acts,2.4,Strong,muthafucker
MFer,motherfucker,sexual anatomy / sexual acts,1.8,Strong,MFer
mong,mong,racial / ethnic slurs,1.8,Strong,mong
bitch3s,bitch,sexual orientation / gender,1.2,Mild,bitch3s
cobb knobbler,knob,sexual anatomy / sexual acts,1.8,Strong,cobbknobbler
shiteblimps,shit,bodily fluids / excrement,1.8,Strong,shiteblimps
dickhead,dick,sexual anatomy / sexual acts,2.0,Strong,dickhead
motherfuckkas,motherfucker,sexual anatomy / sexual acts,3.0,Severe,motherfuckkas
niggress,nigger,racial / ethnic slurs,3.0,Severe,niggress
tickle the pickle,tickle the pickle,sexual anatomy / sexual acts,1.2,Mild,ticklepickle
cock-gobbler,cock,sexual anatomy / sexual acts,2.4,Strong,cock-gobbler
arse-shagger,arse,sexual anatomy / sexual acts,2.4,Strong,arse-shagger
fuccs,fuck,sexual anatomy / sexual acts,2.0,Strong,fuccs
assfvck3r,fuck,sexual anatomy / sexual acts,3.0,Severe,assfvck3r
puss,pussy,sexual anatomy / sexual acts,1.4,Mild,puss
scummy,scum,other / general insult,1.2,Mild,scummy
pussys,pussy,sexual anatomy / sexual acts,2.0,Strong,pussys
nicka,nigger,racial / ethnic slurs,2.6,Severe,nicka
phukkeds,fuck,sexual anatomy / sexual acts,2.0,Strong,phukkeds
